polygon|1.0|[[11, 174], [15, 165], [14, 165], [14, 164], [0, 158], [0, 160], [0, 188], [0, 192], [1, 189], [9, 189], [9, 188]]
polygon|1.0|[[0, 197], [0, 198], [0, 221], [0, 222], [5, 222], [5, 221], [6, 222], [6, 221]]
polygon|1.0|[[21, 251], [20, 251], [1, 251], [0, 254], [20, 254], [21, 254], [24, 254]]
polygon|1.0|[[33, 15], [32, 15], [33, 13], [32, 13], [36, 1], [33, 3], [32, 3], [32, 1], [24, 1], [23, 3], [22, 1], [20, 1], [0, 68], [0, 71], [0, 72], [8, 71], [9, 72], [10, 70], [11, 68], [12, 68], [12, 69], [16, 42], [18, 39], [18, 38], [29, 60], [30, 60], [30, 59], [18, 29], [29, 39], [30, 39], [29, 31], [30, 29]]
polygon|1.0|[[44, 161], [47, 158], [59, 155], [85, 152], [87, 152], [87, 153], [48, 162], [46, 162]]
polygon|1.0|[[114, 241], [113, 241], [56, 239], [57, 240], [56, 240], [56, 254], [113, 254], [114, 254]]
polygon|1.0|[[123, 136], [122, 136], [99, 133], [99, 135], [97, 150], [99, 149], [123, 150], [122, 149]]
polygon|1.0|[[135, 99], [135, 98], [131, 114], [132, 114], [132, 112]]
polygon|1.0|[[234, 38], [233, 38], [231, 13], [230, 13], [222, 15], [225, 12], [223, 12], [223, 11], [213, 12], [213, 11], [211, 11], [213, 8], [209, 13], [211, 8], [209, 8], [180, 11], [178, 8], [179, 11], [179, 12], [168, 12], [166, 12], [164, 12], [154, 28], [155, 42], [156, 42], [170, 41], [171, 41], [170, 42], [171, 42], [170, 50], [171, 50], [170, 51], [171, 51], [158, 67], [166, 80], [166, 81], [168, 81], [233, 78], [234, 78], [235, 77], [234, 74], [232, 51], [234, 51], [232, 50], [234, 50], [231, 42], [230, 41], [231, 40], [234, 40]]
polygon|1.0|[[254, 12], [254, 11], [244, 66], [244, 73], [246, 66], [254, 72]]
polygon|1.0|[[245, 128], [246, 128], [246, 129], [245, 129]]
polygon|1.0|[[254, 185], [249, 185], [248, 185], [249, 187], [254, 213]]
