polygon|[[4, 195], [0, 196], [0, 235], [22, 230], [20, 200], [5, 202], [4, 195]]
polygon|[[15, 246], [0, 250], [0, 255], [17, 255], [15, 246], [25, 255], [24, 255], [21, 255], [25, 255]]
polygon|[[3, 44], [2, 44], [0, 34], [0, 79], [4, 79], [3, 59], [4, 58], [3, 44]]
polygon|[[15, 153], [13, 154], [4, 154], [3, 149], [0, 150], [0, 189], [16, 187], [15, 170], [17, 169], [15, 153]]
polygon|[[144, 166], [102, 175], [102, 186], [93, 188], [97, 222], [149, 212], [144, 166]]
polygon|[[0, 136], [10, 135], [9, 117], [7, 117], [4, 87], [0, 87], [0, 136]]
polygon|[[138, 107], [86, 114], [90, 160], [143, 153], [138, 107]]
polygon|[[151, 224], [96, 230], [98, 255], [153, 255], [151, 224]]
polygon|[[255, 43], [247, 44], [251, 90], [255, 90], [255, 43]]
polygon|[[78, 0], [78, 0], [79, 0], [78, 0]]
polygon|[[255, 100], [245, 102], [247, 113], [251, 113], [255, 143], [255, 143], [255, 100]]
polygon|[[0, 25], [6, 25], [5, 4], [2, 4], [2, 0], [0, 0], [0, 25]]
polygon|[[123, 3], [84, 7], [84, 14], [80, 14], [82, 53], [125, 50], [123, 3]]
polygon|[[243, 0], [243, 10], [236, 10], [236, 26], [255, 26], [255, 0], [243, 0]]
polygon|[[132, 56], [101, 60], [102, 72], [85, 73], [82, 73], [84, 108], [88, 108], [135, 103], [132, 56]]
